word	nodeType	synsetCount	unit	count
man	NOUN	13	shining-dialogue	14
mark	NOUN	30	shining-dialogue	2
match	NOUN	19	shining-dialogue	2
matter	NOUN	7	shining-dialogue	16
maze	NOUN	2	shining-dialogue	22
meat	NOUN	3	shining-dialogue	4
menu	NOUN	4	shining-dialogue	2
mess	NOUN	8	shining-dialogue	2
microphone	NOUN	1	shining-dialogue	4
mile	NOUN	8	shining-dialogue	2
milk	NOUN	7	shining-dialogue	2
mind	NOUN	13	shining-dialogue	4
minute	NOUN	8	shining-dialogue	26
mirror	NOUN	4	shining-dialogue	12
mistake	NOUN	5	shining-dialogue	2
model	NOUN	16	shining-dialogue	6
molasse	NOUN	0	shining-dialogue	2
mom	NOUN	1	shining-dialogue	10
moment	NOUN	6	shining-dialogue	14
money	NOUN	3	shining-dialogue	4
month	NOUN	2	shining-dialogue	11
mood	NOUN	3	shining-dialogue	2
morning	NOUN	4	shining-dialogue	6
mother	NOUN	7	shining-dialogue	6
motif	NOUN	3	shining-dialogue	2
mound	NOUN	6	shining-dialogue	4
mountain	NOUN	2	shining-dialogue	12
mouth	NOUN	11	shining-dialogue	26
move	NOUN	21	shining-dialogue	28
movie	NOUN	1	shining-dialogue	2
mum	NOUN	4	shining-dialogue	2
murder	NOUN	3	shining-dialogue	8
name	NOUN	15	shining-dialogue	6
neck	NOUN	6	shining-dialogue	10
need	NOUN	7	shining-dialogue	2
news	NOUN	5	shining-dialogue	2
newspaper	NOUN	4	shining-dialogue	2
nigger	NOUN	1	shining-dialogue	6
night	NOUN	8	shining-dialogue	7
nightmare	NOUN	2	shining-dialogue	2
ninety	NOUN	2	shining-dialogue	2
no	NOUN	6	shining-dialogue	8
noise	NOUN	7	shining-dialogue	2
none	NOUN	4	shining-dialogue	2
north	NOUN	9	shining-dialogue	2
note	NOUN	13	shining-dialogue	6
notice	NOUN	11	shining-dialogue	2
number	NOUN	17	shining-dialogue	14
nursery	NOUN	2	shining-dialogue	2
o'clock	NOUN	1	shining-dialogue	2
occasion	NOUN	6	shining-dialogue	2
office	NOUN	7	shining-dialogue	42
official	NOUN	7	shining-dialogue	2
olive	NOUN	6	shining-dialogue	2
one	NOUN	9	shining-dialogue	4
opening	NOUN	25	shining-dialogue	4
operator	NOUN	5	shining-dialogue	5
order	NOUN	24	shining-dialogue	4
other	NOUN	4	shining-dialogue	2
oven	NOUN	1	shining-dialogue	2
owner	NOUN	2	shining-dialogue	2
p.m.	NOUN	2	shining-dialogue	2
packet	NOUN	4	shining-dialogue	8
page	NOUN	9	shining-dialogue	2
pan	NOUN	7	shining-dialogue	96
panel	NOUN	10	shining-dialogue	14
paper	NOUN	9	shining-dialogue	32
pardon	NOUN	5	shining-dialogue	2
park	NOUN	8	shining-dialogue	2
part	NOUN	18	shining-dialogue	8
party	NOUN	6	shining-dialogue	12
pass	NOUN	43	shining-dialogue	4
passenger	NOUN	1	shining-dialogue	4
past	NOUN	6	shining-dialogue	4
path	NOUN	4	shining-dialogue	2
peace	NOUN	5	shining-dialogue	2
peach	NOUN	5	shining-dialogue	2
peanut	NOUN	5	shining-dialogue	4
pedal	NOUN	5	shining-dialogue	4
people	NOUN	6	shining-dialogue	24
period	NOUN	7	shining-dialogue	2
petrol	NOUN	1	shining-dialogue	2
phone	NOUN	4	shining-dialogue	150
photograph	NOUN	3	shining-dialogue	4
picture	NOUN	12	shining-dialogue	6
piece	NOUN	18	shining-dialogue	8
pig	NOUN	9	shining-dialogue	4
pillar	NOUN	5	shining-dialogue	4
pillow	NOUN	2	shining-dialogue	2
pin	NOUN	15	shining-dialogue	4
place	NOUN	32	shining-dialogue	32
plan	NOUN	7	shining-dialogue	2
plane	NOUN	9	shining-dialogue	2
plate	NOUN	16	shining-dialogue	6
play	NOUN	52	shining-dialogue	8
pleasure	NOUN	5	shining-dialogue	4
plenty	NOUN	3	shining-dialogue	6
plough	NOUN	4	shining-dialogue	2
plug	NOUN	13	shining-dialogue	4
pocket	NOUN	11	shining-dialogue	2
point	NOUN	40	shining-dialogue	6
police	NOUN	2	shining-dialogue	2
porch	NOUN	1	shining-dialogue	2
pork	NOUN	2	shining-dialogue	2
pot	NOUN	10	shining-dialogue	6
pound	NOUN	22	shining-dialogue	6
predecessor	NOUN	2	shining-dialogue	2
premise	NOUN	4	shining-dialogue	2
president	NOUN	6	shining-dialogue	2
press	NOUN	23	shining-dialogue	4
