word	nodeType	synsetCount	unit	count
costume	NOUN	6	shining-dialogue	2
cosy	NOUN	2	shining-dialogue	2
counter	NOUN	13	shining-dialogue	14
counter	VERB	13	shining-dialogue	2
couple	NOUN	9	shining-dialogue	2
course	NOUN	13	shining-dialogue	2
cover	NOUN	36	shining-dialogue	4
cover	VERB	36	shining-dialogue	34
cow	NOUN	4	shining-dialogue	2
crawl	VERB	8	shining-dialogue	4
crazy	ADJ	6	shining-dialogue	4
cream	NOUN	8	shining-dialogue	10
create	VERB	6	shining-dialogue	2
credit	NOUN	13	shining-dialogue	4
cross	VERB	16	shining-dialogue	2
crouch	VERB	3	shining-dialogue	6
crowded	ADJ	5	shining-dialogue	4
cruel	ADJ	1	shining-dialogue	2
cry	VERB	12	shining-dialogue	6
curtain	NOUN	3	shining-dialogue	6
cut	NOUN	70	shining-dialogue	1
cut	VERB	70	shining-dialogue	2
d	ADJ	4	shining-dialogue	2
d.c.10	NOUN	0	shining-dialogue	4
daddy	NOUN	1	shining-dialogue	4
daily	ADJ	5	shining-dialogue	2
damage	NOUN	7	shining-dialogue	4
damage	VERB	7	shining-dialogue	2
damn	ADJ	5	shining-dialogue	2
dance	VERB	7	shining-dialogue	2
darken	VERB	3	shining-dialogue	2
darling	NOUN	3	shining-dialogue	2
dart	NOUN	6	shining-dialogue	4
dartboard	NOUN	1	shining-dialogue	2
daughter	NOUN	1	shining-dialogue	4
day	NOUN	10	shining-dialogue	12
dead	ADJ	21	shining-dialogue	8
deal	NOUN	22	shining-dialogue	2
deal	VERB	22	shining-dialogue	4
death	NOUN	8	shining-dialogue	2
declare	VERB	8	shining-dialogue	4
decorator	NOUN	2	shining-dialogue	2
definite	ADJ	2	shining-dialogue	2
demanding	ADJ	7	shining-dialogue	2
depreciation	NOUN	3	shining-dialogue	2
design	NOUN	14	shining-dialogue	2
desk	NOUN	1	shining-dialogue	30
dial	NOUN	6	shining-dialogue	4
dial	VERB	6	shining-dialogue	4
dialogue	NOUN	4	shining-dialogue	2
differ	VERB	2	shining-dialogue	2
different	ADJ	5	shining-dialogue	12
dinner	NOUN	2	shining-dialogue	2
direct	VERB	24	shining-dialogue	3
disappear	VERB	4	shining-dialogue	2
discover	VERB	8	shining-dialogue	2
discuss	VERB	4	shining-dialogue	6
dish	NOUN	8	shining-dialogue	4
dislocate	VERB	2	shining-dialogue	2
dissolve	NOUN	12	shining-dialogue	2
distract	VERB	2	shining-dialogue	2
distributor	NOUN	4	shining-dialogue	4
dizzy	ADJ	3	shining-dialogue	2
do	VERB	16	shining-dialogue	154
doc	NOUN	2	shining-dialogue	2
doctor	NOUN	7	shining-dialogue	27
dog	NOUN	8	shining-dialogue	2
door	NOUN	5	shining-dialogue	244
door	VERB	5	shining-dialogue	6
doorway	NOUN	1	shining-dialogue	24
doubt	NOUN	4	shining-dialogue	2
doubt	VERB	4	shining-dialogue	2
doughnut	NOUN	2	shining-dialogue	2
dozen	NOUN	2	shining-dialogue	4
drag	VERB	17	shining-dialogue	6
draw	VERB	45	shining-dialogue	7
dream	NOUN	8	shining-dialogue	6
dream	VERB	8	shining-dialogue	2
dress	NOUN	21	shining-dialogue	2
dress	VERB	21	shining-dialogue	8
drink	NOUN	10	shining-dialogue	12
drink	VERB	10	shining-dialogue	14
drive	VERB	34	shining-dialogue	18
driveway	NOUN	1	shining-dialogue	2
drop	NOUN	32	shining-dialogue	2
drop	VERB	32	shining-dialogue	6
dry	VERB	19	shining-dialogue	14
due	ADJ	7	shining-dialogue	2
dull	ADJ	19	shining-dialogue	7
duty	NOUN	3	shining-dialogue	2
ear	NOUN	5	shining-dialogue	10
ear	VERB	5	shining-dialogue	38
early	ADJ	9	shining-dialogue	2
easy	ADJ	15	shining-dialogue	2
eat	VERB	6	shining-dialogue	16
edge	NOUN	10	shining-dialogue	2
edge	VERB	10	shining-dialogue	2
effect	NOUN	8	shining-dialogue	2
eg	NOUN	0	shining-dialogue	2
egg	NOUN	5	shining-dialogue	2
elbow	NOUN	7	shining-dialogue	2
elderly	ADJ	2	shining-dialogue	10
element	NOUN	7	shining-dialogue	2
emergency	NOUN	3	shining-dialogue	2
emotional	ADJ	4	shining-dialogue	2
employer	NOUN	1	shining-dialogue	2
employment	NOUN	4	shining-dialogue	2
empty	ADJ	10	shining-dialogue	14
empty	VERB	10	shining-dialogue	2
end	NOUN	18	shining-dialogue	22
end	VERB	18	shining-dialogue	2
energy	NOUN	7	shining-dialogue	2
engine	NOUN	4	shining-dialogue	4
enormous	ADJ	1	shining-dialogue	4
entail	VERB	5	shining-dialogue	2
enter	NOUN	9	shining-dialogue	2
enter	VERB	9	shining-dialogue	40
entire	ADJ	5	shining-dialogue	2
entrance	NOUN	5	shining-dialogue	22
entrance	VERB	5	shining-dialogue	6
episode	NOUN	4	shining-dialogue	6
ethical	ADJ	3	shining-dialogue	2
evening	NOUN	6	shining-dialogue	18
examine	VERB	5	shining-dialogue	2
exit	VERB	6	shining-dialogue	26
expect	VERB	6	shining-dialogue	2
expert	NOUN	3	shining-dialogue	2
explain	VERB	3	shining-dialogue	6
explanation	NOUN	3	shining-dialogue	4
exposure	NOUN	10	shining-dialogue	2
extra	ADJ	7	shining-dialogue	2
eye	NOUN	6	shining-dialogue	16
f.g	NOUN	0	shining-dialogue	8
face	NOUN	22	shining-dialogue	26
face	VERB	22	shining-dialogue	6
facedown	NOUN	0	shining-dialogue	2
fact	NOUN	4	shining-dialogue	6
factor	NOUN	10	shining-dialogue	2
fail	VERB	11	shining-dialogue	2
fall	VERB	44	shining-dialogue	12
family	NOUN	8	shining-dialogue	10
famous	ADJ	1	shining-dialogue	2
fantastic	ADJ	5	shining-dialogue	4
fascinated	ADJ	4	shining-dialogue	2
fast	VERB	15	shining-dialogue	2
favor	NOUN	9	shining-dialogue	2
favorite	ADJ	5	shining-dialogue	4
fear	VERB	8	shining-dialogue	4
feasible	ADJ	1	shining-dialogue	2
feel	VERB	17	shining-dialogue	14
fever	NOUN	2	shining-dialogue	2
few	ADJ	2	shining-dialogue	26
filing	NOUN	9	shining-dialogue	2
fill	VERB	11	shining-dialogue	10
filling	NOUN	15	shining-dialogue	2
film	NOUN	7	shining-dialogue	2
find	VERB	18	shining-dialogue	10
fine	ADJ	10	shining-dialogue	12
fine	NOUN	10	shining-dialogue	2
finger	NOUN	7	shining-dialogue	8
finish	VERB	15	shining-dialogue	10
fire	NOUN	18	shining-dialogue	4
fireplace	NOUN	1	shining-dialogue	2
first	ADJ	16	shining-dialogue	10
fish	NOUN	6	shining-dialogue	4
fix	VERB	17	shining-dialogue	2
flash	VERB	19	shining-dialogue	2
flick	NOUN	12	shining-dialogue	2
flick	VERB	12	shining-dialogue	4
flight	NOUN	12	shining-dialogue	6
fling	VERB	7	shining-dialogue	2
float	VERB	16	shining-dialogue	4
floor	NOUN	12	shining-dialogue	58
folk	NOUN	4	shining-dialogue	14
follow	VERB	24	shining-dialogue	22
food	NOUN	3	shining-dialogue	30
foot	NOUN	14	shining-dialogue	44
foot	VERB	14	shining-dialogue	2
foothold	NOUN	3	shining-dialogue	2
footprint	NOUN	3	shining-dialogue	16
force	NOUN	19	shining-dialogue	2
force	VERB	19	shining-dialogue	6
forecast	NOUN	4	shining-dialogue	6
forecaster	NOUN	1	shining-dialogue	2
forefinger	NOUN	1	shining-dialogue	16
forehead	NOUN	2	shining-dialogue	2
forget	VERB	4	shining-dialogue	4
forward	NOUN	12	shining-dialogue	2
freeze	VERB	14	shining-dialogue	4
freezer	NOUN	1	shining-dialogue	4
fridge	NOUN	1	shining-dialogue	2
friend	NOUN	5	shining-dialogue	6
front	ADJ	13	shining-dialogue	14
front	NOUN	13	shining-dialogue	24
fruit	NOUN	5	shining-dialogue	2
fuck	NOUN	2	shining-dialogue	6
fuck	VERB	2	shining-dialogue	4
fucker	NOUN	2	shining-dialogue	2
fucking	ADJ	4	shining-dialogue	8
fun	NOUN	4	shining-dialogue	4
funny	ADJ	5	shining-dialogue	2
furniture	NOUN	1	shining-dialogue	2
future	NOUN	7	shining-dialogue	2
game	NOUN	14	shining-dialogue	2
gap	NOUN	7	shining-dialogue	18
garage	NOUN	3	shining-dialogue	8
gasp	NOUN	2	shining-dialogue	2
general	ADJ	10	shining-dialogue	2
gentleman	NOUN	2	shining-dialogue	4
gesture	NOUN	4	shining-dialogue	4
get	VERB	37	shining-dialogue	138
ghost	NOUN	7	shining-dialogue	4
girl	NOUN	5	shining-dialogue	36
give	VERB	45	shining-dialogue	38
glad	ADJ	5	shining-dialogue	8
glass	NOUN	12	shining-dialogue	38
go	VERB	35	shining-dialogue	182
goddam	ADJ	2	shining-dialogue	10
goddam	NOUN	2	shining-dialogue	2
goddamned	ADJ	2	shining-dialogue	2
gold	ADJ	7	shining-dialogue	2
gold	NOUN	7	shining-dialogue	4
good	ADJ	27	shining-dialogue	74
good	NOUN	27	shining-dialogue	4
goose	NOUN	6	shining-dialogue	2
gorgeous	ADJ	1	shining-dialogue	4
grab	VERB	8	shining-dialogue	8
grandmother	NOUN	1	shining-dialogue	2
great	ADJ	7	shining-dialogue	18
grip	VERB	10	shining-dialogue	2
groan	VERB	2	shining-dialogue	16
grocery	NOUN	2	shining-dialogue	2
grouchy	ADJ	1	shining-dialogue	4
ground	NOUN	30	shining-dialogue	4
grunt	VERB	4	shining-dialogue	2
guess	VERB	6	shining-dialogue	20
guest	NOUN	4	shining-dialogue	9
gush	NOUN	5	shining-dialogue	6
gush	VERB	5	shining-dialogue	8
habit	NOUN	7	shining-dialogue	2
hair	NOUN	6	shining-dialogue	16
half	ADJ	6	shining-dialogue	4
half	NOUN	6	shining-dialogue	2
halloran/	VERB	0	shining-dialogue	2
hamburger	NOUN	2	shining-dialogue	2
hand	NOUN	16	shining-dialogue	140
hand	VERB	16	shining-dialogue	4
handful	NOUN	2	shining-dialogue	2
handle	NOUN	7	shining-dialogue	14
handle	VERB	7	shining-dialogue	8
hang	NOUN	18	shining-dialogue	2
happen	VERB	5	shining-dialogue	38
happy	ADJ	4	shining-dialogue	4
hard	ADJ	22	shining-dialogue	4
harm	NOUN	4	shining-dialogue	2
harsh	ADJ	6	shining-dialogue	2
hate	VERB	2	shining-dialogue	2
have	VERB	20	shining-dialogue	136
head	NOUN	42	shining-dialogue	62
head	VERB	42	shining-dialogue	2
headache	NOUN	2	shining-dialogue	2
headset	NOUN	1	shining-dialogue	4
health	NOUN	2	shining-dialogue	2
hear	VERB	5	shining-dialogue	20
heart	NOUN	10	shining-dialogue	2
heat	NOUN	11	shining-dialogue	2
heated	ADJ	6	shining-dialogue	2
heating	NOUN	6	shining-dialogue	2
heatwave	NOUN	0	shining-dialogue	2
heavy	ADJ	30	shining-dialogue	4
hectic	ADJ	1	shining-dialogue	2
hedge	NOUN	7	shining-dialogue	4
hell	NOUN	6	shining-dialogue	2
help	VERB	12	shining-dialogue	4
heyday	NOUN	1	shining-dialogue	2
hide	VERB	6	shining-dialogue	4
high	ADJ	18	shining-dialogue	4
highway	NOUN	1	shining-dialogue	2
hip	NOUN	6	shining-dialogue	2
hire	VERB	5	shining-dialogue	2
hit	VERB	24	shining-dialogue	6
hold	NOUN	45	shining-dialogue	10
hold	VERB	45	shining-dialogue	120
holding	NOUN	38	shining-dialogue	2
home	NOUN	17	shining-dialogue	4
hon	ADJ	0	shining-dialogue	2
honey	NOUN	4	shining-dialogue	2
hope	VERB	9	shining-dialogue	4
horrible	ADJ	1	shining-dialogue	2
horror	NOUN	3	shining-dialogue	2
hot	ADJ	21	shining-dialogue	2
hotel	NOUN	1	shining-dialogue	34
hour	NOUN	4	shining-dialogue	14
house	NOUN	14	shining-dialogue	6
huff	VERB	3	shining-dialogue	2
hug	NOUN	3	shining-dialogue	2
humidity	NOUN	1	shining-dialogue	2
hungry	ADJ	2	shining-dialogue	2
hunting	NOUN	10	shining-dialogue	2
hurt	VERB	14	shining-dialogue	22
husband	NOUN	2	shining-dialogue	12
hypnosis	NOUN	1	shining-dialogue	2
ice	NOUN	11	shining-dialogue	16
icicle	NOUN	1	shining-dialogue	2
idea	NOUN	5	shining-dialogue	18
illustrious	ADJ	2	shining-dialogue	2
imaginary	ADJ	2	shining-dialogue	4
imagine	VERB	2	shining-dialogue	2
important	ADJ	5	shining-dialogue	2
impossible	ADJ	4	shining-dialogue	2
improve	VERB	2	shining-dialogue	2
inaudible	NOUN	1	shining-dialogue	2
inch	NOUN	3	shining-dialogue	2
incredible	ADJ	1	shining-dialogue	2
indian	ADJ	5	shining-dialogue	6
indistinct	NOUN	1	shining-dialogue	2
individual	NOUN	6	shining-dialogue	2
induce	VERB	5	shining-dialogue	2
inhale	NOUN	2	shining-dialogue	2
inhale	VERB	2	shining-dialogue	2
injure	VERB	3	shining-dialogue	7
injury	NOUN	5	shining-dialogue	4
inner	ADJ	6	shining-dialogue	2
instrument	NOUN	9	shining-dialogue	2
insurance	NOUN	3	shining-dialogue	2
intend	VERB	4	shining-dialogue	2
interest	NOUN	10	shining-dialogue	2
interfere	VERB	2	shining-dialogue	2
interrupt	VERB	5	shining-dialogue	2
interview	NOUN	5	shining-dialogue	2
intrigue	VERB	4	shining-dialogue	2
introduce	VERB	10	shining-dialogue	2
irreparable	ADJ	1	shining-dialogue	2
island	NOUN	2	shining-dialogue	2
isolation	NOUN	5	shining-dialogue	4
it'	NOUN	0	shining-dialogue	2
item	NOUN	6	shining-dialogue	2
jack	NOUN	14	shining-dialogue	4
jacket	NOUN	7	shining-dialogue	18
jammed	ADJ	8	shining-dialogue	2
jet	NOUN	9	shining-dialogue	4
job	NOUN	17	shining-dialogue	14
join	VERB	7	shining-dialogue	4
joint	NOUN	13	shining-dialogue	2
jug	NOUN	4	shining-dialogue	2
jump	VERB	21	shining-dialogue	2
keep	VERB	25	shining-dialogue	24
key	NOUN	21	shining-dialogue	6
kick	VERB	14	shining-dialogue	4
kid	NOUN	7	shining-dialogue	6
kill	VERB	17	shining-dialogue	8
kind	NOUN	4	shining-dialogue	16
kiss	VERB	6	shining-dialogue	14
kitchen	NOUN	1	shining-dialogue	22
knee	NOUN	3	shining-dialogue	8
kneel	VERB	2	shining-dialogue	10
kneeling	NOUN	2	shining-dialogue	6
knife	NOUN	4	shining-dialogue	40
knock	VERB	11	shining-dialogue	2
know	VERB	12	shining-dialogue	76
l	NOUN	5	shining-dialogue	178
l.ear	ADJ	0	shining-dialogue	2
l.hand	NOUN	0	shining-dialogue	2
lady	NOUN	3	shining-dialogue	8
lake	NOUN	3	shining-dialogue	2
lamb	NOUN	6	shining-dialogue	2
land	VERB	18	shining-dialogue	8
landing	NOUN	11	shining-dialogue	8
last	ADJ	21	shining-dialogue	6
later	NOUN	12	shining-dialogue	3
laugh	NOUN	4	shining-dialogue	4
laugh	VERB	4	shining-dialogue	74
law	NOUN	7	shining-dialogue	2
lay	VERB	16	shining-dialogue	4
lead	VERB	31	shining-dialogue	13
lean	NOUN	10	shining-dialogue	2
lean	VERB	10	shining-dialogue	40
least	ADJ	3	shining-dialogue	4
leave	VERB	17	shining-dialogue	24
left	NOUN	24	shining-dialogue	2
leg	NOUN	9	shining-dialogue	14
len	NOUN	0	shining-dialogue	4
lens	NOUN	5	shining-dialogue	2
less	ADJ	5	shining-dialogue	2
let	VERB	8	shining-dialogue	40
letter	NOUN	8	shining-dialogue	2
lid	NOUN	3	shining-dialogue	2
lie	VERB	10	shining-dialogue	40
life	NOUN	14	shining-dialogue	8
lift	NOUN	36	shining-dialogue	18
lift	VERB	36	shining-dialogue	10
light	ADJ	47	shining-dialogue	4
light	NOUN	47	shining-dialogue	14
light	VERB	47	shining-dialogue	6
like	VERB	11	shining-dialogue	36
limp	VERB	5	shining-dialogue	32
line	NOUN	36	shining-dialogue	18
lipstick	NOUN	3	shining-dialogue	4
lipstick	VERB	3	shining-dialogue	2
listen	VERB	3	shining-dialogue	8
little	ADJ	10	shining-dialogue	36
live	VERB	19	shining-dialogue	14
living	NOUN	17	shining-dialogue	22
lobby	NOUN	4	shining-dialogue	4
local	ADJ	5	shining-dialogue	4
locate	VERB	4	shining-dialogue	2
lock	VERB	15	shining-dialogue	6
long	ADJ	12	shining-dialogue	6
look	NOUN	14	shining-dialogue	4
look	VERB	14	shining-dialogue	204
lose	VERB	11	shining-dialogue	4
loser	NOUN	3	shining-dialogue	2
